,Season,TeamID,Rank_WLK,Rank_DOL,Rank_COL,Rank_SAG,Rank_MOR,Rank_POM,Seed,TeamName,Wins,Losses,Win%,T_Wins,FGM,FGA,FG%,FGM_Ag,FGA_Ag,FG%_Ag,FGM_pg,FGM_Ag_pg,FGM3,FGA3,FG3%,FGM3_Ag,FGA3_Ag,FG3%_Ag,FGM3_pg,FGM3_Ag_pg,FTM,FTA,FT%,FTM_Ag,FTA_Ag,FTM_pg,FTM_Ag_pg,OR,OR_Ag,OR_pg,OR_Ag_pg,DR,DR_Ag,DR_pg,DR_Ag_pg,Ast,Ast_Ag,Ast_pg,Ast_Ag_pg,TO,TO_Ag,TO_pg,TO_Ag_pg,Stl,Stl_Ag,Stl_pg,Stl_Ag_pg,Blk,Blk_Ag,Blk_pg,Blk_Ag_pg,PF,PF_Ag,PF_pg,PF_Ag_pg
0,2003,1328,8,6,3,8,6,9,1,Oklahoma,24,6,80.0,3.0,758.0,1696.0,44.6934,648.0,1601.0,40.4747,25.267,21.6,224.0,569.0,39.3673,133.0,407.0,32.6781,7.467,4.433,395.0,558.0,70.7885,376.0,559.0,13.167,12.533,364.0,312.0,12.133,10.4,749.0,672.0,24.967,22.4,425.0,314.0,14.167,10.467,354.0,411.0,11.8,13.7,208.0,155.0,6.933,5.167,113.0,80.0,3.767,2.667,558.0,526.0,18.6,17.533
1,2003,1448,9,4,8,9,20,12,2,Wake Forest,24,5,82.7586,1.0,758.0,1660.0,45.6627,686.0,1733.0,39.5845,26.138,23.655,177.0,514.0,34.4358,217.0,646.0,33.5913,6.103,7.483,581.0,772.0,75.2591,372.0,541.0,20.034,12.828,428.0,361.0,14.759,12.448,781.0,561.0,26.931,19.345,423.0,363.0,14.586,12.517,438.0,395.0,15.103,13.621,186.0,214.0,6.414,7.379,127.0,94.0,4.379,3.241,536.0,639.0,18.483,22.034
2,2003,1393,14,5,9,12,21,15,3,Syracuse,24,5,82.7586,6.0,848.0,1804.0,47.0067,731.0,1874.0,39.0075,29.241,25.207,152.0,460.0,33.0435,201.0,655.0,30.687,5.241,6.931,475.0,685.0,69.3431,364.0,548.0,16.379,12.552,415.0,458.0,14.31,15.793,780.0,646.0,26.897,22.276,434.0,461.0,14.966,15.897,395.0,419.0,13.621,14.448,241.0,192.0,8.31,6.621,211.0,91.0,7.276,3.138,481.0,572.0,16.586,19.724
3,2003,1257,6,16,6,6,14,14,4,Louisville,24,6,80.0,1.0,839.0,1825.0,45.9726,676.0,1679.0,40.2621,27.967,22.533,253.0,702.0,36.0399,153.0,502.0,30.4781,8.433,5.1,524.0,753.0,69.5883,549.0,791.0,17.467,18.3,396.0,386.0,13.2,12.867,753.0,708.0,25.1,23.6,498.0,358.0,16.6,11.933,401.0,522.0,13.367,17.4,216.0,173.0,7.2,5.767,142.0,73.0,4.733,2.433,680.0,678.0,22.667,22.6
4,2003,1280,17,19,25,16,8,11,5,Mississippi St,21,9,70.0,0.0,790.0,1674.0,47.1924,652.0,1625.0,40.1231,26.333,21.733,167.0,486.0,34.3621,187.0,569.0,32.8647,5.567,6.233,358.0,529.0,67.6749,314.0,468.0,11.933,10.467,380.0,327.0,12.667,10.9,738.0,604.0,24.6,20.133,435.0,299.0,14.5,9.967,469.0,483.0,15.633,16.1,262.0,232.0,8.733,7.733,112.0,90.0,3.733,3.0,477.0,515.0,15.9,17.167
5,2003,1329,23,27,26,25,29,29,6,Oklahoma St,20,9,68.9655,1.0,715.0,1607.0,44.4928,631.0,1619.0,38.9747,24.655,21.759,141.0,376.0,37.5,148.0,447.0,33.1096,4.862,5.103,422.0,648.0,65.1235,394.0,600.0,14.552,13.586,359.0,409.0,12.379,14.103,698.0,650.0,24.069,22.414,355.0,319.0,12.241,11.0,425.0,486.0,14.655,16.759,255.0,195.0,8.793,6.724,162.0,104.0,5.586,3.586,584.0,552.0,20.138,19.034
6,2003,1386,16,22,27,20,38,18,7,St Joseph's PA,23,6,79.3103,0.0,703.0,1578.0,44.5501,584.0,1582.0,36.9153,24.241,20.138,233.0,634.0,36.7508,159.0,482.0,32.9876,8.034,5.483,409.0,599.0,68.2805,392.0,600.0,14.103,13.517,324.0,391.0,11.172,13.483,700.0,636.0,24.138,21.931,406.0,330.0,14.0,11.379,375.0,442.0,12.931,15.241,209.0,180.0,7.207,6.207,161.0,76.0,5.552,2.621,544.0,563.0,18.759,19.414
7,2003,1143,33,25,28,40,43,40,8,California,21,8,72.4138,1.0,793.0,1703.0,46.5649,736.0,1705.0,43.1672,27.345,25.379,186.0,494.0,37.6518,206.0,622.0,33.119,6.414,7.103,388.0,566.0,68.5512,345.0,506.0,13.379,11.897,326.0,324.0,11.241,11.172,707.0,667.0,24.379,23.0,464.0,465.0,16.0,16.034,411.0,433.0,14.172,14.931,190.0,172.0,6.552,5.931,81.0,73.0,2.793,2.517,496.0,554.0,17.103,19.103
8,2003,1301,51,49,56,46,31,48,9,NC State,18,12,60.0,0.0,730.0,1600.0,45.625,703.0,1594.0,44.1029,24.333,23.433,239.0,675.0,35.4074,172.0,510.0,33.7255,7.967,5.733,473.0,614.0,77.0358,462.0,636.0,15.767,15.4,292.0,316.0,9.733,10.533,661.0,643.0,22.033,21.433,440.0,377.0,14.667,12.567,426.0,439.0,14.2,14.633,233.0,223.0,7.767,7.433,92.0,85.0,3.067,2.833,560.0,580.0,18.667,19.333
9,2003,1120,47,43,44,43,44,45,10,Auburn,19,11,63.3333,2.0,771.0,1641.0,46.9835,714.0,1699.0,42.0247,25.7,23.8,169.0,490.0,34.4898,207.0,621.0,33.3333,5.633,6.9,392.0,592.0,66.2162,332.0,496.0,13.067,11.067,358.0,367.0,11.933,12.233,677.0,618.0,22.567,20.6,402.0,380.0,13.4,12.667,477.0,474.0,15.9,15.8,241.0,235.0,8.033,7.833,149.0,80.0,4.967,2.667,491.0,574.0,16.367,19.133
