,Season,TeamID,FGM,FGA,FG%,FGM_Ag,FGA_Ag,FG%_Ag,FGM_pg,FGM_Ag_pg,FGM3,FGA3,FG3%,FGM3_Ag,FGA3_Ag,FG3%_Ag,FGM3_pg,FGM3_Ag_pg,FTM,FTA,FT%,FTM_Ag,FTA_Ag,FTM_pg,FTM_Ag_pg,OR,OR_Ag,OR_pg,OR_Ag_pg,DR,DR_Ag,DR_pg,DR_Ag_pg,Ast,Ast_Ag,Ast_pg,Ast_Ag_pg,TO,TO_Ag,TO_pg,TO_Ag_pg,Stl,Stl_Ag,Stl_pg,Stl_Ag_pg,Blk,Blk_Ag,Blk_pg,Blk_Ag_pg,PF,PF_Ag,PF_pg,PF_Ag_pg
0,2003,1102,536.0,1114.0,48.1149,540.0,1188.0,45.4545,19.143,19.286,219.0,583.0,37.5643,133.0,348.0,38.2184,7.821,4.75,312.0,479.0,65.1357,383.0,539.0,11.143,13.679,117.0,269.0,4.179,9.607,471.0,564.0,16.821,20.143,364.0,256.0,13.0,9.143,320.0,363.0,11.429,12.964,167.0,152.0,5.964,5.429,50.0,44.0,1.786,1.571,525.0,514.0,18.75,18.357
1,2003,1103,733.0,1508.0,48.6074,750.0,1539.0,48.7329,27.148,27.778,147.0,434.0,33.871,180.0,496.0,36.2903,5.444,6.667,514.0,698.0,73.639,430.0,598.0,19.037,15.926,264.0,325.0,9.778,12.037,538.0,595.0,19.926,22.037,411.0,418.0,15.222,15.481,341.0,414.0,12.63,15.333,196.0,173.0,7.259,6.407,63.0,77.0,2.333,2.852,536.0,606.0,19.852,22.444
2,2003,1104,673.0,1601.0,42.0362,651.0,1554.0,41.8919,24.036,23.25,178.0,556.0,32.0144,178.0,536.0,33.209,6.357,6.357,416.0,586.0,70.9898,340.0,480.0,14.857,12.143,380.0,305.0,13.571,10.893,670.0,634.0,23.929,22.643,339.0,327.0,12.107,11.679,372.0,388.0,13.286,13.857,185.0,155.0,6.607,5.536,106.0,89.0,3.786,3.179,505.0,539.0,18.036,19.25
3,2003,1105,634.0,1602.0,39.5755,702.0,1533.0,45.7926,24.385,27.0,197.0,540.0,36.4815,163.0,456.0,35.7456,7.577,6.269,401.0,568.0,70.5986,426.0,637.0,15.423,16.385,351.0,343.0,13.5,13.192,601.0,686.0,23.115,26.385,378.0,411.0,14.538,15.808,485.0,489.0,18.654,18.808,242.0,244.0,9.308,9.385,54.0,109.0,2.077,4.192,526.0,496.0,20.231,19.077
4,2003,1106,656.0,1548.0,42.3773,608.0,1495.0,40.6689,23.429,21.714,171.0,494.0,34.6154,134.0,426.0,31.4554,6.107,4.786,298.0,461.0,64.6421,435.0,615.0,10.643,15.536,344.0,317.0,12.286,11.321,668.0,626.0,23.857,22.357,327.0,330.0,11.679,11.786,477.0,422.0,17.036,15.071,234.0,246.0,8.357,8.786,88.0,89.0,3.143,3.179,509.0,452.0,18.179,16.143
5,2003,1107,673.0,1609.0,41.8272,807.0,1671.0,48.2944,24.036,28.821,222.0,621.0,35.7488,184.0,511.0,36.0078,7.929,6.571,278.0,379.0,73.3509,322.0,462.0,9.929,11.5,231.0,375.0,8.25,13.393,567.0,758.0,20.25,27.071,334.0,525.0,11.929,18.75,352.0,419.0,12.571,14.964,192.0,155.0,6.857,5.536,57.0,99.0,2.036,3.536,445.0,446.0,15.893,15.929
6,2003,1108,823.0,1938.0,42.4665,850.0,1944.0,43.7243,24.939,25.758,172.0,539.0,31.9109,182.0,572.0,31.8182,5.212,5.515,462.0,691.0,66.8596,531.0,768.0,14.0,16.091,433.0,415.0,13.121,12.576,766.0,783.0,23.212,23.727,457.0,510.0,13.848,15.455,609.0,552.0,18.455,16.727,270.0,283.0,8.182,8.576,116.0,95.0,3.515,2.879,649.0,627.0,19.667,19.0
7,2003,1110,695.0,1606.0,43.2752,681.0,1592.0,42.7764,23.167,22.7,263.0,694.0,37.8963,188.0,562.0,33.452,8.767,6.267,338.0,496.0,68.1452,307.0,496.0,11.267,10.233,300.0,330.0,10.0,11.0,694.0,694.0,23.133,23.133,427.0,364.0,14.233,12.133,395.0,437.0,13.167,14.567,192.0,177.0,6.4,5.9,52.0,94.0,1.733,3.133,544.0,512.0,18.133,17.067
8,2003,1111,744.0,1677.0,44.3649,777.0,1707.0,45.5185,28.615,29.885,187.0,571.0,32.7496,203.0,585.0,34.7009,7.192,7.808,490.0,681.0,71.953,368.0,497.0,18.846,14.154,338.0,345.0,13.0,13.269,658.0,692.0,25.308,26.615,396.0,432.0,15.231,16.615,421.0,486.0,16.192,18.692,256.0,232.0,9.846,8.923,120.0,101.0,4.615,3.885,486.0,548.0,18.692,21.077
9,2003,1112,849.0,1840.0,46.1413,738.0,1811.0,40.751,30.321,26.357,197.0,562.0,35.0534,177.0,559.0,31.6637,7.036,6.321,491.0,700.0,70.1429,314.0,496.0,17.536,11.214,425.0,367.0,15.179,13.107,774.0,652.0,27.643,23.286,494.0,433.0,17.643,15.464,414.0,472.0,14.786,16.857,237.0,167.0,8.464,5.964,118.0,67.0,4.214,2.393,497.0,618.0,17.75,22.071
10,2003,1113,789.0,1650.0,47.8182,719.0,1614.0,44.5477,27.207,24.793,116.0,365.0,31.7808,158.0,461.0,34.2733,4.0,5.448,509.0,760.0,66.9737,410.0,595.0,17.552,14.138,397.0,319.0,13.69,11.0,676.0,596.0,23.31,20.552,451.0,408.0,15.552,14.069,406.0,450.0,14.0,15.517,151.0,174.0,5.207,6.0,123.0,114.0,4.241,3.931,563.0,663.0,19.414,22.862
11,2003,1114,668.0,1490.0,44.8322,696.0,1574.0,44.2186,23.857,24.857,190.0,512.0,37.1094,167.0,480.0,34.7917,6.786,5.964,435.0,628.0,69.2675,403.0,582.0,15.536,14.393,295.0,332.0,10.536,11.857,640.0,633.0,22.857,22.607,322.0,347.0,11.5,12.393,447.0,433.0,15.964,15.464,185.0,165.0,6.607,5.893,66.0,92.0,2.357,3.286,574.0,573.0,20.5,20.464
12,2003,1115,539.0,1520.0,35.4605,709.0,1618.0,43.8195,19.25,25.321,133.0,472.0,28.178,178.0,529.0,33.6484,4.75,6.357,315.0,493.0,63.8945,481.0,693.0,11.25,17.179,279.0,422.0,9.964,15.071,589.0,795.0,21.036,28.393,285.0,413.0,10.179,14.75,535.0,486.0,19.107,17.357,223.0,270.0,7.964,9.643,77.0,103.0,2.75,3.679,567.0,497.0,20.25,17.75
13,2003,1116,611.0,1556.0,39.2674,618.0,1475.0,41.8983,21.821,22.071,170.0,548.0,31.0219,160.0,482.0,33.195,6.071,5.714,334.0,548.0,60.9489,467.0,686.0,11.929,16.679,407.0,289.0,14.536,10.321,656.0,622.0,23.429,22.214,275.0,324.0,9.821,11.571,467.0,372.0,16.679,13.286,181.0,209.0,6.464,7.464,99.0,109.0,3.536,3.893,586.0,508.0,20.929,18.143
