,Season,Seed,TeamID,TeamName,RankingDayNum,SystemName,OrdinalRank,Wins,Losses,Win%,T_Wins
0,2003,1,1328,Oklahoma,133,AP,3,24,6,80.0,3.0
1,2003,1,1328,Oklahoma,133,ARG,5,24,6,80.0,3.0
2,2003,1,1328,Oklahoma,133,BIH,5,24,6,80.0,3.0
3,2003,1,1328,Oklahoma,133,BOB,3,24,6,80.0,3.0
4,2003,1,1328,Oklahoma,133,BRZ,7,24,6,80.0,3.0
5,2003,1,1328,Oklahoma,133,COL,3,24,6,80.0,3.0
6,2003,1,1328,Oklahoma,133,DOL,6,24,6,80.0,3.0
7,2003,1,1328,Oklahoma,133,DUN,8,24,6,80.0,3.0
8,2003,1,1328,Oklahoma,133,DWH,4,24,6,80.0,3.0
9,2003,1,1328,Oklahoma,133,ECK,3,24,6,80.0,3.0
10,2003,1,1328,Oklahoma,133,ENT,10,24,6,80.0,3.0
11,2003,1,1328,Oklahoma,133,ERD,12,24,6,80.0,3.0
12,2003,1,1328,Oklahoma,133,GRN,6,24,6,80.0,3.0
13,2003,1,1328,Oklahoma,133,GRS,3,24,6,80.0,3.0
14,2003,1,1328,Oklahoma,133,HER,4,24,6,80.0,3.0
15,2003,1,1328,Oklahoma,133,HOL,3,24,6,80.0,3.0
16,2003,1,1328,Oklahoma,133,IMS,5,24,6,80.0,3.0
17,2003,1,1328,Oklahoma,133,MAS,4,24,6,80.0,3.0
18,2003,1,1328,Oklahoma,133,MKV,6,24,6,80.0,3.0
19,2003,1,1328,Oklahoma,133,MOR,6,24,6,80.0,3.0
20,2003,1,1328,Oklahoma,133,POM,9,24,6,80.0,3.0
21,2003,1,1328,Oklahoma,133,RPI,3,24,6,80.0,3.0
22,2003,1,1328,Oklahoma,133,RTH,9,24,6,80.0,3.0
23,2003,1,1328,Oklahoma,133,SAG,8,24,6,80.0,3.0
24,2003,1,1328,Oklahoma,133,SAU,9,24,6,80.0,3.0
25,2003,1,1328,Oklahoma,133,SE,8,24,6,80.0,3.0
26,2003,1,1328,Oklahoma,133,SEL,4,24,6,80.0,3.0
27,2003,1,1328,Oklahoma,133,STR,9,24,6,80.0,3.0
28,2003,1,1328,Oklahoma,133,TSR,5,24,6,80.0,3.0
29,2003,1,1328,Oklahoma,133,USA,3,24,6,80.0,3.0
30,2003,1,1328,Oklahoma,133,WLK,8,24,6,80.0,3.0
31,2003,1,1328,Oklahoma,133,WOB,5,24,6,80.0,3.0
32,2003,1,1328,Oklahoma,133,WOL,6,24,6,80.0,3.0
33,2003,1,1328,Oklahoma,133,WTE,16,24,6,80.0,3.0
34,2003,2,1448,Wake Forest,133,AP,8,24,5,82.7586,1.0
35,2003,2,1448,Wake Forest,133,ARG,11,24,5,82.7586,1.0
36,2003,2,1448,Wake Forest,133,BIH,4,24,5,82.7586,1.0
37,2003,2,1448,Wake Forest,133,BOB,12,24,5,82.7586,1.0
38,2003,2,1448,Wake Forest,133,BRZ,18,24,5,82.7586,1.0
39,2003,2,1448,Wake Forest,133,COL,8,24,5,82.7586,1.0
40,2003,2,1448,Wake Forest,133,DOL,4,24,5,82.7586,1.0
41,2003,2,1448,Wake Forest,133,DUN,40,24,5,82.7586,1.0
42,2003,2,1448,Wake Forest,133,DWH,5,24,5,82.7586,1.0
43,2003,2,1448,Wake Forest,133,ECK,11,24,5,82.7586,1.0
44,2003,2,1448,Wake Forest,133,ENT,18,24,5,82.7586,1.0
45,2003,2,1448,Wake Forest,133,ERD,21,24,5,82.7586,1.0
46,2003,2,1448,Wake Forest,133,GRN,8,24,5,82.7586,1.0
47,2003,2,1448,Wake Forest,133,GRS,9,24,5,82.7586,1.0
48,2003,2,1448,Wake Forest,133,HER,12,24,5,82.7586,1.0
49,2003,2,1448,Wake Forest,133,HOL,10,24,5,82.7586,1.0
50,2003,2,1448,Wake Forest,133,IMS,14,24,5,82.7586,1.0
51,2003,2,1448,Wake Forest,133,MAS,8,24,5,82.7586,1.0
52,2003,2,1448,Wake Forest,133,MKV,18,24,5,82.7586,1.0
53,2003,2,1448,Wake Forest,133,MOR,20,24,5,82.7586,1.0
54,2003,2,1448,Wake Forest,133,POM,12,24,5,82.7586,1.0
55,2003,2,1448,Wake Forest,133,RPI,7,24,5,82.7586,1.0
56,2003,2,1448,Wake Forest,133,RTH,7,24,5,82.7586,1.0
57,2003,2,1448,Wake Forest,133,SAG,9,24,5,82.7586,1.0
58,2003,2,1448,Wake Forest,133,SAU,11,24,5,82.7586,1.0
59,2003,2,1448,Wake Forest,133,SE,4,24,5,82.7586,1.0
60,2003,2,1448,Wake Forest,133,SEL,9,24,5,82.7586,1.0
61,2003,2,1448,Wake Forest,133,STR,27,24,5,82.7586,1.0
62,2003,2,1448,Wake Forest,133,TSR,4,24,5,82.7586,1.0
63,2003,2,1448,Wake Forest,133,USA,9,24,5,82.7586,1.0
64,2003,2,1448,Wake Forest,133,WLK,9,24,5,82.7586,1.0
65,2003,2,1448,Wake Forest,133,WOB,4,24,5,82.7586,1.0
66,2003,2,1448,Wake Forest,133,WOL,4,24,5,82.7586,1.0
67,2003,2,1448,Wake Forest,133,WTE,6,24,5,82.7586,1.0
68,2003,3,1393,Syracuse,133,AP,13,24,5,82.7586,6.0
69,2003,3,1393,Syracuse,133,ARG,16,24,5,82.7586,6.0
70,2003,3,1393,Syracuse,133,BIH,6,24,5,82.7586,6.0
71,2003,3,1393,Syracuse,133,BOB,13,24,5,82.7586,6.0
72,2003,3,1393,Syracuse,133,BRZ,21,24,5,82.7586,6.0
73,2003,3,1393,Syracuse,133,COL,9,24,5,82.7586,6.0
74,2003,3,1393,Syracuse,133,DOL,5,24,5,82.7586,6.0
75,2003,3,1393,Syracuse,133,DUN,35,24,5,82.7586,6.0
76,2003,3,1393,Syracuse,133,DWH,6,24,5,82.7586,6.0
77,2003,3,1393,Syracuse,133,ECK,10,24,5,82.7586,6.0
78,2003,3,1393,Syracuse,133,ENT,21,24,5,82.7586,6.0
79,2003,3,1393,Syracuse,133,ERD,24,24,5,82.7586,6.0
80,2003,3,1393,Syracuse,133,GRN,9,24,5,82.7586,6.0
81,2003,3,1393,Syracuse,133,GRS,8,24,5,82.7586,6.0
82,2003,3,1393,Syracuse,133,HER,8,24,5,82.7586,6.0
83,2003,3,1393,Syracuse,133,HOL,9,24,5,82.7586,6.0
84,2003,3,1393,Syracuse,133,IMS,15,24,5,82.7586,6.0
85,2003,3,1393,Syracuse,133,MAS,7,24,5,82.7586,6.0
86,2003,3,1393,Syracuse,133,MKV,21,24,5,82.7586,6.0
87,2003,3,1393,Syracuse,133,MOR,21,24,5,82.7586,6.0
88,2003,3,1393,Syracuse,133,POM,15,24,5,82.7586,6.0
89,2003,3,1393,Syracuse,133,RPI,9,24,5,82.7586,6.0
90,2003,3,1393,Syracuse,133,RTH,12,24,5,82.7586,6.0
91,2003,3,1393,Syracuse,133,SAG,12,24,5,82.7586,6.0
92,2003,3,1393,Syracuse,133,SAU,14,24,5,82.7586,6.0
93,2003,3,1393,Syracuse,133,SE,5,24,5,82.7586,6.0
94,2003,3,1393,Syracuse,133,SEL,14,24,5,82.7586,6.0
95,2003,3,1393,Syracuse,133,STR,26,24,5,82.7586,6.0
96,2003,3,1393,Syracuse,133,TSR,6,24,5,82.7586,6.0
97,2003,3,1393,Syracuse,133,USA,12,24,5,82.7586,6.0
98,2003,3,1393,Syracuse,133,WLK,14,24,5,82.7586,6.0
99,2003,3,1393,Syracuse,133,WOB,6,24,5,82.7586,6.0
100,2003,3,1393,Syracuse,133,WOL,5,24,5,82.7586,6.0
101,2003,3,1393,Syracuse,133,WTE,18,24,5,82.7586,6.0
102,2003,4,1257,Louisville,133,AP,14,24,6,80.0,1.0
103,2003,4,1257,Louisville,133,ARG,7,24,6,80.0,1.0
104,2003,4,1257,Louisville,133,BIH,15,24,6,80.0,1.0
105,2003,4,1257,Louisville,133,BOB,7,24,6,80.0,1.0
106,2003,4,1257,Louisville,133,BRZ,6,24,6,80.0,1.0
107,2003,4,1257,Louisville,133,COL,6,24,6,80.0,1.0
108,2003,4,1257,Louisville,133,DOL,16,24,6,80.0,1.0
109,2003,4,1257,Louisville,133,DUN,15,24,6,80.0,1.0
110,2003,4,1257,Louisville,133,DWH,11,24,6,80.0,1.0
111,2003,4,1257,Louisville,133,ECK,9,24,6,80.0,1.0
112,2003,4,1257,Louisville,133,ENT,6,24,6,80.0,1.0
113,2003,4,1257,Louisville,133,ERD,8,24,6,80.0,1.0
114,2003,4,1257,Louisville,133,GRN,14,24,6,80.0,1.0
115,2003,4,1257,Louisville,133,GRS,7,24,6,80.0,1.0
116,2003,4,1257,Louisville,133,HER,7,24,6,80.0,1.0
117,2003,4,1257,Louisville,133,HOL,6,24,6,80.0,1.0
118,2003,4,1257,Louisville,133,IMS,8,24,6,80.0,1.0
119,2003,4,1257,Louisville,133,MAS,14,24,6,80.0,1.0
120,2003,4,1257,Louisville,133,MKV,9,24,6,80.0,1.0
121,2003,4,1257,Louisville,133,MOR,14,24,6,80.0,1.0
122,2003,4,1257,Louisville,133,POM,14,24,6,80.0,1.0
123,2003,4,1257,Louisville,133,RPI,11,24,6,80.0,1.0
124,2003,4,1257,Louisville,133,RTH,8,24,6,80.0,1.0
125,2003,4,1257,Louisville,133,SAG,6,24,6,80.0,1.0
126,2003,4,1257,Louisville,133,SAU,7,24,6,80.0,1.0
127,2003,4,1257,Louisville,133,SE,11,24,6,80.0,1.0
