,Season,TeamID,Rank_WLK,Rank_DOL,Rank_COL,Rank_SAG,Rank_MOR,Rank_POM,Seed,TeamName,Wins,Losses,Win%,T_Wins
0,2003,1328,8,6,3,8,6,9,1,Oklahoma,24,6,80.0,3.0
6,2003,1448,9,4,8,9,20,12,2,Wake Forest,24,5,82.7586,1.0
12,2003,1393,14,5,9,12,21,15,3,Syracuse,24,5,82.7586,6.0
18,2003,1257,6,16,6,6,14,14,4,Louisville,24,6,80.0,1.0
24,2003,1280,17,19,25,16,8,11,5,Mississippi St,21,9,70.0,0.0
30,2003,1329,23,27,26,25,29,29,6,Oklahoma St,20,9,68.9655,1.0
36,2003,1386,16,22,27,20,38,18,7,St Joseph's PA,23,6,79.3103,0.0
42,2003,1143,33,25,28,40,43,40,8,California,21,8,72.4138,1.0
48,2003,1301,51,49,56,46,31,48,9,NC State,18,12,60.0,0.0
54,2003,1120,47,43,44,43,44,45,10,Auburn,19,11,63.3333,2.0
60,2003,1335,46,34,50,49,83,43,11,Penn,22,5,81.4815,0.0
66,2003,1139,29,28,29,35,74,51,12,Butler,24,5,82.7586,2.0
72,2003,1122,77,66,69,103,151,123,13,Austin Peay,20,7,74.0741,0.0
78,2003,1264,48,57,52,69,88,63,14,Manhattan,23,6,79.3103,0.0
84,2003,1190,123,105,120,133,149,147,15,ETSU,17,10,62.963,0.0
90,2003,1354,205,190,180,231,238,230,16,S Carolina St,20,10,66.6667,0.0
96,2003,1400,7,7,4,5,12,7,1,Texas,22,6,78.5714,4.0
102,2003,1196,11,8,14,7,7,6,2,Florida,24,7,77.4194,1.0
108,2003,1462,15,14,16,13,19,17,3,Xavier,25,5,83.3333,1.0
114,2003,1390,28,23,17,29,25,30,4,Stanford,23,8,74.1935,1.0
120,2003,1163,26,26,30,23,17,23,5,Connecticut,21,9,70.0,2.0
126,2003,1268,27,32,37,21,9,19,6,Maryland,19,9,67.8571,2.0
132,2003,1277,35,45,42,36,16,25,7,Michigan St,19,12,61.2903,3.0
138,2003,1261,30,30,36,27,11,21,8,LSU,21,10,67.7419,0.0
144,2003,1345,39,40,33,34,37,38,9,Purdue,18,10,64.2857,1.0
150,2003,1160,40,38,45,33,30,28,10,Colorado,20,11,64.5161,0.0
156,2003,1423,41,53,58,51,48,47,11,UNC Wilmington,24,6,80.0,0.0
162,2003,1140,25,36,23,28,42,26,12,BYU,23,8,74.1935,0.0
168,2003,1360,80,100,91,87,77,82,13,San Diego,17,11,60.7143,0.0
174,2003,1407,57,56,66,78,108,69,14,Troy,25,5,83.3333,0.0
180,2003,1358,102,93,87,138,169,134,15,Sam Houston St,21,6,77.7778,0.0
186,2003,1411,240,239,212,257,293,268,16,TX Southern,18,12,60.0,0.0
192,2003,1421,237,258,213,251,277,273,16,UNC Asheville,13,16,44.8276,1.0
198,2003,1246,1,1,1,1,1,1,1,Kentucky,29,3,90.625,3.0
204,2003,1338,3,3,5,3,3,2,2,Pittsburgh,26,4,86.6667,2.0
210,2003,1266,13,10,10,14,18,13,3,Marquette,23,5,82.1429,4.0
216,2003,1173,22,15,13,26,32,31,4,Dayton,24,5,82.7586,0.0
222,2003,1458,18,24,21,19,15,16,5,Wisconsin,22,7,75.8621,2.0
228,2003,1281,24,20,24,22,24,24,6,Missouri,21,10,67.7419,1.0
234,2003,1231,37,35,39,41,34,46,7,Indiana,20,12,62.5,1.0
240,2003,1332,43,29,32,30,27,42,8,Oregon,23,9,71.875,0.0
246,2003,1428,31,33,20,38,66,37,9,Utah,23,7,76.6667,1.0
252,2003,1104,36,39,43,37,26,33,10,Alabama,17,11,60.7143,0.0
258,2003,1356,44,31,31,50,72,57,11,S Illinois,24,6,80.0,0.0
264,2003,1451,67,65,34,59,100,60,12,Weber St,25,4,86.2069,0.0
270,2003,1409,55,79,57,58,35,53,13,Tulsa,22,9,70.9677,1.0
276,2003,1221,59,42,59,68,105,80,14,Holy Cross,25,4,86.2069,0.0
282,2003,1447,148,145,123,174,190,188,15,Wagner,21,10,67.7419,0.0
288,2003,1237,144,139,148,162,145,133,16,IUPUI,19,13,59.375,0.0
294,2003,1112,2,2,2,2,4,3,1,Arizona,25,3,89.2857,3.0
300,2003,1242,4,11,7,4,2,4,2,Kansas,23,7,76.6667,5.0
306,2003,1181,5,9,11,10,10,8,3,Duke,24,6,80.0,2.0
312,2003,1228,10,12,15,11,5,5,4,Illinois,24,6,80.0,1.0
318,2003,1323,20,17,22,17,36,22,5,Notre Dame,22,9,70.9677,2.0
324,2003,1166,19,18,18,18,33,27,6,Creighton,29,4,87.8788,0.0
330,2003,1272,21,21,19,24,23,20,7,Memphis,23,6,79.3103,0.0
336,2003,1153,45,54,46,42,39,35,8,Cincinnati,17,11,60.7143,0.0
342,2003,1211,38,50,40,39,54,41,9,Gonzaga,23,8,74.1935,1.0
348,2003,1113,34,48,38,32,22,32,10,Arizona St,18,11,62.069,1.0
354,2003,1141,32,37,35,48,50,50,11,C Michigan,23,6,79.3103,1.0
360,2003,1454,50,51,48,44,52,56,12,WI Milwaukee,23,7,76.6667,0.0
366,2003,1443,53,55,53,60,59,52,13,WKU,23,8,74.1935,0.0
372,2003,1161,92,91,75,89,85,87,14,Colorado St,17,13,56.6667,0.0
378,2003,1429,89,89,74,101,128,109,15,Utah St,22,8,73.3333,0.0
384,2003,1436,153,156,144,158,187,144,16,Vermont,19,10,65.5172,0.0
390,2004,1181,2,3,2,1,1,1,1,Duke,27,5,84.375,4.0
396,2004,1280,7,7,5,9,8,7,2,Mississippi St,25,3,89.2857,1.0
402,2004,1400,17,12,13,15,20,17,3,Texas,23,7,76.6667,2.0
408,2004,1153,11,16,10,14,13,15,4,Cincinnati,24,6,80.0,1.0
414,2004,1228,16,15,14,18,16,19,5,Illinois,24,6,80.0,2.0
420,2004,1314,14,17,21,13,11,11,6,North Carolina,18,10,64.2857,1.0
426,2004,1462,28,37,41,37,21,26,7,Xavier,23,10,69.697,3.0
432,2004,1371,37,40,28,34,32,28,8,Seton Hall,19,9,67.8571,1.0
438,2004,1112,33,44,36,32,26,33,9,Arizona,20,9,68.9655,0.0
444,2004,1257,21,34,27,20,19,23,10,Louisville,20,9,68.9655,0.0
